,nct_id,title,status,drugs,sponsor,sponsor_class,phases,results_date,drug_summary
0,NCT06690281,"A Phase II Study of Adjuvant Immunotherapy Targeting KRAS G12D, KRAS G12V, or TP53 R175H for Participants With Advanced Gastrointestinal Malignancies",WITHDRAWN,"KRAS TCR-Transduced PBL, Aldesleukin, Fludarabine, Cyclophosphamide",National Cancer Institute (NCI),NIH,PHASE2,,N/A
1,NCT04005144,A Phase I Study of Brigatinib With Binimetinib in Advanced ALK- or ROS1-Rearranged Non-Small Cell Lung Cancer (NSCLC),TERMINATED,"Binimetinib, Brigatinib","University of California, San Francisco",OTHER,PHASE1,,"Binimetinib is a member of the class of benzimidazoles that is 1-methyl-1H-benzimidazole which is substituted at positions 4, 5, and 6 by fluorine, (4-bromo-2-fluorophenyl)nitrilo, and N-(2-hydroxyethoxy)aminocarbonyl groups, respectively. It is a MEK1 and MEK2 inhibitor (IC50= 12 nM). Approved by the FDA for the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation in combination with encorafenib. It has a role as an antineoplastic agent, an apoptosis inducer and an EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor. It is a member of benzimidazoles, a member of bromobenzenes, a secondary amino compound, a hydroxamic acid ester and a member of monofluorobenzenes."
2,NCT01071564,A Phase I Study of the Hedgehog Smoothened Antagonist GDC-0449 (NSC # 747691) Plus Pan-Notch Inhibitor RO4929097 (NSC # 749225) Administered in Patients With Advanced Breast Cancer,TERMINATED,"Gamma-Secretase Inhibitor RO4929097, Laboratory Biomarker Analysis, Pharmacogenomic Study, Pharmacological Study, Vismodegib",National Cancer Institute (NCI),NIH,PHASE1,,N/A
3,NCT04939363,"A Prospective, Phase-II Study to Evaluate the Efficacy and Safety of Obinutuzumab, Ibrutinib, and Venetoclax in Patients With Richter's Syndrome. GIVeRS Protocol: On Behalf of the Israeli CLL Study Group",COMPLETED,Obinutuzumab with Ibrutinib and Venetoclax,Bnai Zion Medical Center,OTHER_GOV,PHASE2,,N/A
4,NCT00894075,"Single-Center, Case-Control Study of Safety, Efficacy and Pharmacokinetics of ENB-0040 (Human Recombinant Tissue Nonspecific Alkaline Phosphatase Fusion Protein) for Treatment of Hypophosphatasia in Children",WITHDRAWN,ENB-0040,"Alexion Pharmaceuticals, Inc.",INDUSTRY,PHASE2,,N/A
5,NCT03840967,A Phase II Study Evaluating Safety and Efficacy of Niraparib in Patients With Previously Treated Homologous Recombination (HR) Defective or Loss of Heterozygosity (LOH) High Metastatic Esophageal/Gastroesophageal Junction/Proximal Gastric Adenocarcinoma,TERMINATED,Niraparib,"Shadia Jalal, MD",OTHER,PHASE2,2024-06-04,"Niraparib is a 2-[4-(piperidin-3-yl)phenyl]-2H-indazole-7-carboxamide that has S-configuration. It is a potent inhibitor of PARP1 and PARP2 (IC50 of 3.8 and 2.1 nM, respectively) and approved as a first-line maintenance treatment for women with advanced ovarian cancer after responding to platinum-based chemotherapy. It has a role as a radiosensitizing agent, an antineoplastic agent, an EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor and an apoptosis inducer."
6,NCT04267809,Modulating Endoplasmic Reticulum Stress as a Prophylactic Approach Against Symptomatic Viral Infection,COMPLETED,"Metformin Hydrochloride, Calcium and Vitamin D",Singapore General Hospital,OTHER,PHASE2,,"Metformin hydrochloride is a hydrochloride resulting from the reaction of metformin with one molar equivalent of hydrogen chloride. It has a role as a hypoglycemic agent, a xenobiotic and an environmental contaminant. It contains a metformin(1+)."
7,NCT02349009,"A Randomized, Double-Blind, Placebo-Controlled Trial of Topical C-82 in Systemic Sclerosis - A Phase I/II Biomarker and Safety Trial",COMPLETED,"C-82 Topical Gel, 1%, C-82 Topical Gel, Placebo","Prism Pharma Co., Ltd.",INDUSTRY,"PHASE1, PHASE2",,N/A
8,NCT03114098,Personalized Medicine: Pharmacogenetics Anomaly Research in Children and Adolescents With Pharmacological Resistance to Psychotropic Drugs,COMPLETED,gene abnormalities,Fondation Lenval,OTHER,NA,,N/A
9,NCT00873093,"A Phase II Pilot Trial of Bortezomib (PS-341, Velcade) in Combination With Intensive Re-Induction Therapy for Children With Relapsed Acute Lymphoblastic Leukemia (ALL) and Lymphoblastic Lymphoma (LL)",COMPLETED,"L-asparaginase, doxorubicin hydrochloride, therapeutic hydrocortisone, vincristine sulfate, cytarabine, prednisone, bortezomib, pegaspargase, methotrexate, etoposide phosphate, cyclophosphamide, filgrastim, leucovorin calcium, laboratory biomarker analysis, High Dose MTX",National Cancer Institute (NCI),NIH,PHASE2,2017-01-27,N/A
10,NCT00579137,CD45 and Alemtuzumab Monoclonal Antibody Conditioning Regimen For Allogeneic Donor Stem Cell Transplantation Of Patients With Severe Combined Immunodeficiency Disease (SCID) And Other Primary Immunodeficiency Disorders,TERMINATED,"Campath -1H, Fludarabine, Anti-CD45, Stem cell infusion",Baylor College of Medicine,OTHER,"PHASE1, PHASE2",2013-07-02,N/A
11,NCT05628493,Gut Microbiota Analysis With Next-generation 16S rRNA Gene Sequencing in IAI Patients With Sepsis-associated Liver Dysfunction,COMPLETED,Gut microbiota Analysis,Chinese Medical Association,NETWORK,N/A,,N/A
